id,question,answers
d001,What is the capital city of France?,Paris
d002,Who wrote the play Romeo and Juliet?,William Shakespeare|Shakespeare
d003,What planet is known as the Red Planet?,Mars
d004,What is the largest ocean on Earth?,Pacific Ocean|Pacific
d005,Who painted the Mona Lisa?,Leonardo da Vinci|Da Vinci
d006,What gas do plants absorb from the atmosphere for photosynthesis?,Carbon dioxide|CO2
d007,What is the chemical formula for water?,H2O
d008,In what country is Tokyo located?,Japan
d009,How many continents are commonly counted on Earth?,Seven|7
d010,Who developed the theory of relativity?,Albert Einstein|Einstein
d011,What is the currency of Japan?,Yen|Japanese yen
d012,What is the tallest mountain above sea level?,Mount Everest|Everest
d013,What organ pumps blood through the human body?,Heart|the heart
d014,What is the freezing point of water in Celsius?,0|0 degrees|zero degrees
d015,Who is the author of 1984?,George Orwell|Orwell
d016,What language is primarily spoken in Brazil?,Portuguese
d017,What is the smallest prime number?,2|two
d018,Which element has the atomic number 1?,Hydrogen
d019,What is the capital city of Qatar?,Doha
d020,What is the process by which plants make food using sunlight?,Photosynthesis
d021,What is the capital city of Canada?,Ottawa
d022,Who discovered penicillin?,Alexander Fleming|Fleming
d023,What is the main gas in Earth's atmosphere?,Nitrogen
d024,What is the largest planet in the solar system?,Jupiter
d025,What is the name of Earth's natural satellite?,Moon|the Moon
d026,Who wrote Pride and Prejudice?,Jane Austen|Austen
d027,What is the chemical symbol for gold?,Au
d028,What is the capital city of Germany?,Berlin
d029,Which country built the Great Pyramid of Giza?,Egypt
d030,What is the fastest land animal?,Cheetah
d031,What is the capital city of Italy?,Rome
d032,Who was the first president of the United States?,George Washington|Washington
d033,What is the largest desert on Earth?,Antarctic Desert|Antarctica
d034,What is the boiling point of water in Celsius at sea level?,100|100 degrees
d035,What is the capital city of Spain?,Madrid
d036,Who wrote Hamlet?,William Shakespeare|Shakespeare
d037,What is the chemical symbol for oxygen?,O
d038,Which planet is closest to the Sun?,Mercury
d039,What is the capital city of Australia?,Canberra
d040,What is the longest river in the world by common school convention?,Nile|Nile River
d041,Who painted The Starry Night?,Vincent van Gogh|Van Gogh
d042,What is the capital city of Egypt?,Cairo
d043,What is the largest mammal?,Blue whale|blue whale
d044,Who invented the telephone by common historical attribution?,Alexander Graham Bell|Bell
d045,What is the capital city of India?,New Delhi|Delhi
d046,What is the main organ of the human nervous system?,Brain|the brain
d047,Which element has the chemical symbol Fe?,Iron
d048,What is the capital city of China?,Beijing
d049,Who wrote The Great Gatsby?,F. Scott Fitzgerald|Scott Fitzgerald|Fitzgerald
d050,What is the square root of 64?,8|eight
d051,What is the capital city of Russia?,Moscow
d052,What is the hardest natural substance?,Diamond
d053,Who composed the Moonlight Sonata?,Ludwig van Beethoven|Beethoven
d054,What is the capital city of Greece?,Athens
d055,What is the largest organ in the human body?,Skin|the skin
d056,What is the chemical symbol for sodium?,Na
d057,Who wrote Frankenstein?,Mary Shelley|Shelley
d058,What is the capital city of Mexico?,Mexico City
d059,Which planet has the most prominent ring system?,Saturn
d060,What is the name of the galaxy that contains Earth?,Milky Way|the Milky Way
d061,Who was the first human to walk on the Moon?,Neil Armstrong|Armstrong
d062,What is the capital city of South Korea?,Seoul
d063,What is the study of living organisms called?,Biology
d064,What is the chemical symbol for carbon?,C
d065,Who wrote The Odyssey?,Homer
d066,What is the capital city of Saudi Arabia?,Riyadh
d067,What is the largest country by land area?,Russia
d068,What is the main source of energy for Earth?,Sun|the Sun
d069,Who painted the ceiling of the Sistine Chapel?,Michelangelo
d070,What is the capital city of Turkey?,Ankara
d071,What is the basic unit of life?,Cell|cells
d072,What is the chemical symbol for silver?,Ag
d073,Who wrote Don Quixote?,Miguel de Cervantes|Cervantes
d074,What is the capital city of Argentina?,Buenos Aires
d075,Which planet is famous for its Great Red Spot?,Jupiter
d076,What is the largest bone in the human body?,Femur
d077,Who discovered gravity by common legend involving an apple?,Isaac Newton|Newton
d078,What is the capital city of Norway?,Oslo
d079,What is the process of water vapor turning into liquid called?,Condensation
d080,What is the chemical symbol for helium?,He
d081,Who wrote Alice's Adventures in Wonderland?,Lewis Carroll|Carroll
d082,What is the capital city of Kenya?,Nairobi
d083,What is the largest island in the world?,Greenland
d084,What is the nearest star to Earth?,Sun|the Sun
d085,Who developed the polio vaccine commonly associated with the first successful vaccine?,Jonas Salk|Salk
d086,What is the capital city of Thailand?,Bangkok
d087,What is the force that pulls objects toward Earth?,Gravity|Gravitational pull
d088,What is the chemical symbol for potassium?,K
d089,Who wrote The Hobbit?,J. R. R. Tolkien|Tolkien
d090,What is the capital city of Sweden?,Stockholm
d091,Which blood type is commonly called the universal donor?,O negative
d092,What is the deepest ocean trench?,Mariana Trench|Marianas Trench
d093,Who was the first woman to win a Nobel Prize?,Marie Curie|Curie
d094,What is the capital city of Portugal?,Lisbon
d095,What is the pH value of pure water at room temperature?,7|seven
d096,What is the chemical symbol for lead?,Pb
d097,Who wrote War and Peace?,Leo Tolstoy|Tolstoy
d098,What is the capital city of Vietnam?,Hanoi
d099,What is the instrument used to measure temperature?,Thermometer
d100,What is the smallest country in the world by area?,Vatican City|the Vatican
