run,weighting,metric,best_signal,best_value
Gemma SQuAD,unweighted,brier,probe_score_plus_raw_confidence,0.1221780244231234
Gemma SQuAD,unweighted,ece,raw_platt_confidence,0.0156624622938605
Gemma SQuAD,unweighted,auc,raw_plus_hidden_confidence,0.9027472527472528
Gemma SQuAD,unweighted,wrong_conf_ge_0_8,raw_platt_confidence,0.0
Gemma SQuAD,weighted,brier,probe_score_plus_raw_confidence,0.127036679626615
Gemma SQuAD,weighted,ece,probe_score_plus_raw_confidence,0.1114631587340341
Gemma SQuAD,weighted,auc,probe_score_plus_raw_confidence,0.9028571428571428
Gemma SQuAD,weighted,wrong_conf_ge_0_8,raw_temperature_scaled_confidence,0.0
Gemma TriviaQA,unweighted,brier,raw_isotonic_conservative_confidence,0.1595840171580268
Gemma TriviaQA,unweighted,ece,raw_isotonic_conservative_confidence,0.0603452278402465
Gemma TriviaQA,unweighted,auc,raw_plus_hidden_conservative_confidence,0.7727272727272727
Gemma TriviaQA,unweighted,wrong_conf_ge_0_8,raw_temperature_scaled_confidence,0.0
Gemma TriviaQA,weighted,brier,raw_plus_hidden_conservative_confidence,0.1863636987007949
Gemma TriviaQA,weighted,ece,raw_plus_hidden_conservative_confidence,0.1742701488755751
Gemma TriviaQA,weighted,auc,raw_plus_hidden_conservative_confidence,0.775691699604743
Gemma TriviaQA,weighted,wrong_conf_ge_0_8,raw_temperature_scaled_confidence,0.0
Phi SQuAD,unweighted,brier,raw_plus_hidden_conservative_confidence,0.0522979884838902
Phi SQuAD,unweighted,ece,raw_temperature_scaled_confidence,0.0267030640533946
Phi SQuAD,unweighted,auc,hidden_conservative_confidence,0.8867127496159755
Phi SQuAD,unweighted,wrong_conf_ge_0_8,hidden_conservative_confidence,7.0
Phi SQuAD,weighted,brier,raw_plus_hidden_conservative_confidence,0.0507794456644713
Phi SQuAD,weighted,ece,raw_plus_hidden_conservative_confidence,0.0329711185600593
Phi SQuAD,weighted,auc,raw_plus_hidden_conservative_confidence,0.8774961597542242
Phi SQuAD,weighted,wrong_conf_ge_0_8,raw_temperature_scaled_confidence,0.0
Phi TriviaQA,unweighted,brier,raw_platt_confidence,0.170497786676424
Phi TriviaQA,unweighted,ece,raw_isotonic_conservative_confidence,0.0635156861248027
Phi TriviaQA,unweighted,auc,raw_generation_confidence,0.8514492753623188
Phi TriviaQA,unweighted,wrong_conf_ge_0_8,raw_temperature_scaled_confidence,0.0
Phi TriviaQA,weighted,brier,raw_platt_confidence,0.170497786676424
Phi TriviaQA,weighted,ece,raw_isotonic_conservative_confidence,0.0635156861248027
Phi TriviaQA,weighted,auc,raw_generation_confidence,0.8514492753623188
Phi TriviaQA,weighted,wrong_conf_ge_0_8,raw_temperature_scaled_confidence,0.0
Qwen SQuAD,unweighted,brier,raw_plus_hidden_conservative_confidence,0.1709381887271341
Qwen SQuAD,unweighted,ece,raw_platt_confidence,0.0536037450093233
Qwen SQuAD,unweighted,auc,raw_plus_hidden_conservative_confidence,0.8271022526241302
Qwen SQuAD,unweighted,wrong_conf_ge_0_8,raw_temperature_scaled_confidence,9.0
Qwen SQuAD,weighted,brier,raw_plus_hidden_conservative_confidence,0.1804311987600733
Qwen SQuAD,weighted,ece,raw_temperature_scaled_confidence,0.0835861290315503
Qwen SQuAD,weighted,auc,raw_plus_hidden_conservative_confidence,0.8209694539450407
Qwen SQuAD,weighted,wrong_conf_ge_0_8,raw_temperature_scaled_confidence,0.0
Qwen TriviaQA,unweighted,brier,raw_isotonic_confidence,0.1270264731979713
Qwen TriviaQA,unweighted,ece,raw_isotonic_confidence,0.0459978398617511
Qwen TriviaQA,unweighted,auc,raw_plus_hidden_conservative_confidence,0.8144586304095507
Qwen TriviaQA,unweighted,wrong_conf_ge_0_8,raw_temperature_scaled_confidence,0.0
Qwen TriviaQA,weighted,brier,raw_plus_hidden_conservative_confidence,0.1243080458840843
Qwen TriviaQA,weighted,ece,raw_plus_hidden_conservative_confidence,0.0961739866647923
Qwen TriviaQA,weighted,auc,raw_plus_hidden_conservative_confidence,0.815453490300116
Qwen TriviaQA,weighted,wrong_conf_ge_0_8,raw_platt_confidence,1.0
