id,split,hidden_state_method
d029,train,answer_mean
d039,train,answer_mean
d022,train,answer_mean
d028,train,answer_mean
d082,train,answer_mean
d018,train,answer_mean
d009,train,answer_mean
d088,train,answer_mean
d023,train,answer_mean
d035,train,answer_mean
d030,train,answer_mean
d083,train,answer_mean
d001,train,answer_mean
d090,train,answer_mean
d098,train,answer_mean
d045,train,answer_mean
d050,train,answer_mean
d031,train,answer_mean
d006,train,answer_mean
d036,train,answer_mean
d075,train,answer_mean
d053,train,answer_mean
d071,train,answer_mean
d021,train,answer_mean
d038,train,answer_mean
d013,train,answer_mean
d060,train,answer_mean
d004,train,answer_mean
d016,train,answer_mean
d072,train,answer_mean
d062,train,answer_mean
d080,train,answer_mean
d011,train,answer_mean
d020,train,answer_mean
d055,train,answer_mean
d048,train,answer_mean
d079,train,answer_mean
d076,train,answer_mean
d087,train,answer_mean
d019,train,answer_mean
d056,train,answer_mean
d005,train,answer_mean
d096,train,answer_mean
d041,train,answer_mean
d086,train,answer_mean
d067,train,answer_mean
d015,train,answer_mean
d026,train,answer_mean
d010,train,answer_mean
d008,train,answer_mean
d089,train,answer_mean
d092,train,answer_mean
d094,train,answer_mean
d078,train,answer_mean
d069,train,answer_mean
d077,train,answer_mean
d007,train,answer_mean
d032,train,answer_mean
d051,train,answer_mean
d100,train,answer_mean
d044,train,answer_mean
d012,train,answer_mean
d042,train,answer_mean
d014,train,answer_mean
d046,train,answer_mean
d085,test,answer_mean
d033,test,answer_mean
d024,test,answer_mean
d063,test,answer_mean
d027,test,answer_mean
d054,test,answer_mean
d047,test,answer_mean
d093,test,answer_mean
d065,test,answer_mean
d052,test,answer_mean
d064,test,answer_mean
d002,test,answer_mean
d058,test,answer_mean
d066,test,answer_mean
d025,test,answer_mean
d057,test,answer_mean
d091,test,answer_mean
d081,test,answer_mean
d084,test,answer_mean
d073,test,answer_mean
d017,test,answer_mean
d003,test,answer_mean
d099,test,answer_mean
d040,test,answer_mean
d049,test,answer_mean
d043,test,answer_mean
d070,test,answer_mean
d034,test,answer_mean
d074,test,answer_mean
d037,test,answer_mean
d097,test,answer_mean
d068,test,answer_mean
d095,test,answer_mean
d059,test,answer_mean
d061,test,answer_mean
